condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
DRKG_off,GDC0810,0.10162110953062078,0.1675374590576048,186,True
DRKG_off,Vismodegib,0.06430532386405059,0.3793483794851764,189,True
DRKG_off,Olaparib,0.3390959668675234,1.8145422595883758e-06,189,True
DRKG_off,Gemcitabine,0.5044310438553241,1.5760698000174553e-13,188,True
DRKG_off,Paclitaxel,0.20461944650751052,0.0050861098690134915,186,True
DRKG_off,Zoledronate,-0.15281022578608927,0.08024850656858613,132,True
DRKG_off,AMG-319,0.04030513481358355,0.5849249214575368,186,True
DRKG_off,Buparlisib,0.32401863219965016,6.435557681561502e-06,186,True
DRKG_off,MK-1775,0.63880740806251,4.6103926981888366e-23,189,True
DRKG_off,Niraparib,0.34122287968441817,5.273602719547826e-06,170,True
DRKG_off,Mitoxantrone,0.5745174873338794,5.892311850895354e-13,132,True
DRKG_off,Pictilisib,0.3094743840403802,1.3940080629274338e-05,190,True
DRKG_off,Venetoclax,0.26610315680524405,0.00024149727642204893,186,True
DRKG_off,Refametinib,0.5955722639933166,1.5802898364882838e-19,189,True
DRKG_off,Bicalutamide,0.0001409443269908386,0.9992755183211193,44,True
DRKG_off,VE821,0.37531714913119085,1.3033144122047465e-07,186,False
DRKG_off,SB216763,0.018489020366367053,0.801690611690099,187,False
DRKG_off,EPZ004777,0.029534718985241817,0.6882282048710449,187,False
DRKG_off,GSK343,0.005422910313521319,0.9236276473163363,315,False
DRKG_off,BPD-00008900,-0.06327743662415367,0.4495745015458268,145,False
DRKG_off,JNK Inhibitor VIII,0.06114217658212677,0.40965974056838284,184,False
DRKG_off,AZD7762,0.4291196106570163,8.906545133677215e-10,187,False
DRKG_off,Bleomycin,0.07867343584499067,0.36988823272734406,132,False
DRKG_off,AZD3759,0.0890328658525747,0.2231097807713018,189,False
DRKG_off,AZD1332,0.15403842033849888,0.07668209387354544,133,False
DRKG_off,50869,0.045326710252383204,0.605800964205478,132,False
DRKG_off,BDF00022089a,-0.15526518664629294,0.07545454063909603,132,False
DRKG_off,JAK_8517,0.2889278828006243,0.0007439235828142935,133,False
DRKG_off,Gallibiscoquinazole,-0.12464193098986188,0.1544563861915904,132,False
DRKG_off,PCI-34051,0.17694689211717077,0.020980848881267427,170,False
DRKG_off,BIBR-1532,0.13599485288289842,0.06419439660583173,186,False
DRKG_off,CHIR-99021,0.3630725863284002,0.015421871007928597,44,False
DRKG_off,PD0325901,0.5529035354343306,1.5930936765635535e-16,189,False
