cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,LTBR,7,5.7475008621362834e-05,0.34300803654795253
Acute Myeloid Leukemia,BACE2,7,5.630382702292991e-05,0.4318549642079054
Acute Myeloid Leukemia,CEACAM6,7,5.60407495088709e-05,0.18127000800320126
Acute Myeloid Leukemia,EFEMP1,7,5.59411727018804e-05,0.268536303410253
Acute Myeloid Leukemia,IGFBP6,7,5.5673295979171856e-05,0.332942065715175
Acute Myeloid Leukemia,AKR1C3,7,5.474832901849628e-05,0.36389305722288917
Acute Myeloid Leukemia,KRT18,7,5.4742209808214935e-05,0.29657029478458047
Acute Myeloid Leukemia,ITGA4,7,5.427101963765121e-05,0.37973578320216983
Acute Myeloid Leukemia,TM4SF1,7,5.419886110757943e-05,0.28352813347561245
Acute Myeloid Leukemia,SLC16A3,7,5.405112460721284e-05,0.4030406607087279
Acute Myeloid Leukemia,MFNG,7,5.265019483756207e-05,0.3947153861544618
Acute Myeloid Leukemia,TACSTD2,7,5.216994681437167e-05,0.2257072273353786
Acute Myeloid Leukemia,MGST1,7,5.069112135710644e-05,0.3983826864078965
Acute Myeloid Leukemia,FOSL1,7,5.013646477891598e-05,0.309041394335512
Acute Myeloid Leukemia,EMP1,7,4.9433621240625924e-05,0.2882894824596505
Acute Myeloid Leukemia,ABCC3,7,4.934428839728103e-05,0.2549850495753857
Acute Myeloid Leukemia,SULF2,7,4.888152861123477e-05,0.23749110755413277
Acute Myeloid Leukemia,QPRT,7,4.8666653518531735e-05,0.32544628962696187
Acute Myeloid Leukemia,CD48,7,4.790588705613378e-05,0.08864045618247299
Acute Myeloid Leukemia,EVA1A,7,4.773606063476369e-05,0.2441273731714908
Acute Myeloid Leukemia,IGFBP3,7,4.672987987370496e-05,0.26987850695833887
Acute Myeloid Leukemia,PARP2,7,4.613536709387388e-05,0.4571097883597884
Acute Myeloid Leukemia,IL2RG,7,4.4421798520488665e-05,0.2850565226090436
Acute Myeloid Leukemia,MAGEA4,7,4.431277466210304e-05,0.10018840869681205
Acute Myeloid Leukemia,CCL2,7,4.399496771968968e-05,0.2313847761326753
Acute Myeloid Leukemia,PXDN,7,4.311185382123638e-05,0.28663270863901114
Acute Myeloid Leukemia,CCN1,7,4.2621771301907885e-05,0.2803991040860789
Acute Myeloid Leukemia,GRB7,7,4.258625280531955e-05,0.20615662931839404
Acute Myeloid Leukemia,AGR2,7,4.251068990665122e-05,0.14245392601485038
Acute Myeloid Leukemia,TUBA4A,7,4.2133087845286354e-05,0.3017504223911787
Acute Myeloid Leukemia,IGLC2,7,4.178215086929933e-05,0.18272670179182784
Acute Myeloid Leukemia,RPL36A-HNRNPH2,7,4.138886600100834e-05,0.163557367391401
Acute Myeloid Leukemia,SFN,7,4.1014980524778366e-05,0.2054116090880797
Acute Myeloid Leukemia,TGFB2,7,4.092717257922881e-05,0.2680105375483527
Acute Myeloid Leukemia,HOXA9,7,3.950238702340617e-05,0.2997140522875817
