DRUG_NAME,DRUG_ID,cancer_group,n_cells,mean_AUC,mean_auc_hat,alpha_ChEMBL,alpha_PrimeKG,n_sensitive_pred,pct_sensitive
Elephantin,1835,Skin,31,0.8833748709677419,0.8988885429032258,0.0,0.0,0,0.0
Elephantin,1835,Lung,108,0.9068340092592593,0.9032221132407408,0.0,0.0,0,0.0
Elephantin,1835,Breast,42,0.8875996190476191,0.9107524811904761,0.0,0.0,0,0.0
Elephantin,1835,Colorectal,46,0.8813695,0.9147174886956522,0.0,0.0,0,0.0
Elephantin,1835,Pancreatic,25,0.9078820799999999,0.9167137004,0.0,0.0,0,0.0
Entinostat,1593,Haematological,132,0.7056916363636364,0.8412424034848485,1.0,0.0,3,0.022727272727272728
Entinostat,1593,Skin,51,0.7951709019607843,0.87100134,1.0,0.0,0,0.0
Entinostat,1593,Other,428,0.8417535257009345,0.8759354469158879,1.0,0.0,0,0.0
Entinostat,1593,Colorectal,48,0.8474365833333333,0.878860133125,1.0,0.0,0,0.0
Entinostat,1593,Breast,49,0.8451173673469388,0.8801606932653062,1.0,0.0,0,0.0
Entinostat,1593,Lung,141,0.7928045460992909,0.8890126489361703,1.0,0.0,0,0.0
Entinostat,1593,Pancreatic,26,0.9059225769230769,0.8981516576923076,1.0,0.0,0,0.0
Entospletinib,1630,Haematological,132,0.9055288712121212,0.833702966439394,1.0,0.0,8,0.06060606060606061
Entospletinib,1630,Other,428,0.9223296588785047,0.8592334290186916,1.0,0.0,4,0.009345794392523364
Entospletinib,1630,Colorectal,48,0.9375966041666667,0.8699075443750001,1.0,0.0,0,0.0
Entospletinib,1630,Lung,141,0.9353415531914894,0.8717097470921986,1.0,0.0,0,0.0
Entospletinib,1630,Pancreatic,26,0.9396212307692308,0.87698609,1.0,0.0,0,0.0
Entospletinib,1630,Skin,51,0.9340629803921568,0.8792322250980391,1.0,0.0,0,0.0
Entospletinib,1630,Breast,45,0.9526822222222222,0.8843658448888888,1.0,0.0,0,0.0
Erlotinib,1168,Haematological,133,0.9505095563909775,0.7463865247368421,0.41714414263157895,0.5828558630827068,36,0.2706766917293233
Erlotinib,1168,Other,463,0.9303567537796976,0.8242639791144708,0.4466862945572354,0.5533137124838012,10,0.02159827213822894
Erlotinib,1168,Colorectal,46,0.9234795,0.8352930758695652,0.42704813369565214,0.572951875,0,0.0
Erlotinib,1168,Lung,154,0.9314178766233767,0.8407341992857142,0.4342977286363636,0.5657022753896104,1,0.006493506493506494
Erlotinib,1168,Skin,54,0.9502360555555556,0.8504295396296295,0.46600645962962967,0.533993542962963,0,0.0
Erlotinib,1168,Pancreatic,30,0.9402456333333333,0.862890702,0.46441977766666664,0.5355802343333332,0,0.0
Erlotinib,1168,Breast,50,0.95042888,0.8637031434000001,0.4383711678,0.5616288380000001,0,0.0
Fulvestrant,1200,Haematological,139,0.9849640287769784,0.7830610825179857,0.4903536999280576,0.5096463042446043,18,0.12949640287769784
Fulvestrant,1816,Haematological,107,0.9599297009345795,0.7865755018691589,0.48506024355140187,0.5149397615887851,14,0.1308411214953271
Fulvestrant,1200,Lung,155,0.978858129032258,0.8815006863870968,0.5215454629032258,0.47845454451612907,0,0.0
Fulvestrant,1200,Other,464,0.9783257780172413,0.8833150146551724,0.539221046724138,0.4607789604094828,5,0.010775862068965518
Fulvestrant,1200,Skin,54,0.9811914259259259,0.8852526211111111,0.5350847799999999,0.46491522314814815,0,0.0
Fulvestrant,1816,Other,339,0.9622656489675516,0.8859927105309734,0.5402203574631269,0.45977965085545724,3,0.008849557522123894
Fulvestrant,1816,Lung,108,0.9592357037037037,0.8859972725925926,0.5309779615740741,0.46902204703703704,0,0.0
Fulvestrant,1816,Skin,31,0.9650550967741935,0.8914804396774193,0.5382762987096774,0.46172370580645156,0,0.0
Fulvestrant,1200,Colorectal,46,0.9772936086956522,0.8990966876086957,0.5046747763043478,0.4953252323913043,0,0.0
Fulvestrant,1200,Pancreatic,30,0.9712925666666667,0.8994529736666667,0.5594135536666667,0.44058645066666663,0,0.0
Fulvestrant,1816,Pancreatic,25,0.9548757999999999,0.9001721288,0.5594945224,0.4405054784,0,0.0
Fulvestrant,1816,Colorectal,46,0.9585859782608696,0.900264710652174,0.5043493465217391,0.4956506619565218,0,0.0
Fulvestrant,1816,Breast,42,0.9549697619047619,0.9155230757142857,0.5280915497619048,0.4719084571428571,0,0.0
Fulvestrant,1200,Breast,50,0.9704288200000001,0.9160502646,0.527146943,0.47285306439999997,0,0.0
GSK2578215A,1927,Haematological,136,0.9779507941176471,0.8428845698529411,0.0,0.0,1,0.007352941176470588
GSK2578215A,1927,Skin,54,0.9711594444444445,0.8565987522222223,0.0,0.0,0,0.0
GSK2578215A,1927,Breast,50,0.97292814,0.8585180508000001,0.0,0.0,0,0.0
GSK2578215A,1927,Other,463,0.9668597580993521,0.8590681470842332,0.0,0.0,1,0.0021598272138228943
GSK2578215A,1927,Colorectal,46,0.9726592826086957,0.8633497347826087,0.0,0.0,0,0.0
GSK2578215A,1927,Lung,154,0.9700870974025975,0.868380189155844,0.0,0.0,0,0.0
GSK2578215A,1927,Pancreatic,30,0.9668620666666666,0.8921290016666668,0.0,0.0,0,0.0
GSK269962A,1192,Skin,25,0.921007,0.9041346072,0.0,0.0,0,0.0
GSK269962A,1192,Haematological,30,0.7506321,0.9177007063333333,0.0,0.0,0,0.0
GSK269962A,1192,Other,104,0.8570860769230768,0.9249713226923078,0.0,0.0,0,0.0
GSK269962A,1192,Lung,46,0.8490807608695653,0.9304849171739131,0.0,0.0,0,0.0
GSK269962A,1192,Breast,48,0.8919592083333333,0.93517469125,0.0,0.0,0,0.0
GSK269962A,1192,Colorectal,6,0.8397981666666667,0.9422687,0.0,0.0,0,0.0
GSK343,2037,Skin,31,0.9199242903225806,0.9604478787096774,0.0,0.0,0,0.0
GSK343,2037,Other,360,0.9555337722222222,0.9638306532777777,0.0,0.0,0,0.0
GSK343,2037,Lung,112,0.9562342053571429,0.9646288991964286,0.0,0.0,0,0.0
GSK343,2037,Breast,46,0.956471652173913,0.9677650152173913,0.0,0.0,0,0.0
GSK343,2037,Pancreatic,29,0.9607532068965517,0.9701627472413793,0.0,0.0,0,0.0
GSK343,2037,Haematological,107,0.9347986635514018,0.9736105630841122,0.0,0.0,0,0.0
GSK343,2037,Colorectal,39,0.9543544358974358,0.9774246,0.0,0.0,0,0.0
GSK591,2110,Haematological,138,0.940083804347826,0.8939728471014493,0.0,0.0,0,0.0
GSK591,2110,Other,458,0.9527041462882097,0.9158336252183406,0.0,0.0,0,0.0
GSK591,2110,Skin,54,0.9528864074074074,0.9195548790740742,0.0,0.0,0,0.0
