DRUG_ID,DRUG_NAME,n_genes_tested,max_abs_delta,mean_abs_delta,top5_genes,n_known_targets
1583,GSK-LSD1,79,0.0061237080954015255,0.0014384330052858855,RPS28P7|ITM2C|CDKN1A|ERBB2|IL4R,0
1129,PF-4708671,79,0.006121025420725346,0.0017128232232872633,ITM2C|RPS28P7|ETV5|TCEAL4|FADS1,0
1830,Gallibiscoquinazole,79,0.00611615926027298,0.0014545410058072097,RPS28P7|ITM2C|CDKN1A|ETV5|IL4R,0
1029,Motesanib,79,0.0061080846935510635,0.001330442827001886,RPS28P7|ERBB2|ETV5|IL4R|ITM2C,0
1067,CCT007093,79,0.0061072600074112415,0.0014049700432592603,RPS28P7|ITM2C|IL4R|CDKN1A|ERBB2,0
1931,MIRA-1,79,0.006101542618125677,0.001447647983131671,RPS28P7|ITM2C|IL4R|CDKN1A|ERBB2,0
1510,Linsitinib,79,0.0061013298109173775,0.001657912469707736,RPS28P7|CDKN1A|GFOD3P|MYC|FADS1,0
1927,GSK2578215A,79,0.006080252584069967,0.0014035148751300088,RPS28P7|ITM2C|CDKN1A|ERBB2|IL4R,0
1018,Veliparib,79,0.006074297241866589,0.001304363410793174,RPS28P7|ITM2C|IL4R|CDKN1A|ERBB2,0
2037,GSK343,79,0.006068839691579342,0.0014285343169393842,RPS28P7|ITM2C|CDKN1A|IL4R|ERBB2,0
2154,GSK-LSD1-2HCl ,79,0.006056549493223429,0.001441239278588173,RPS28P7|ITM2C|CDKN1A|IL4R|ERBB2,0
1512,Cyclophosphamide,79,0.00605606148019433,0.0013006872057625906,RPS28P7|ITM2C|CDKN1A|ERBB2|ETV5,0
2177,SGC0946,79,0.006049548275768757,0.00137393449394834,RPS28P7|ITM2C|CDKN1A|ETV5|ERBB2,0
2175,CHIR-99021,79,0.006017434410750866,0.0015899743781649048,RPS28P7|IL4R|CDKN1A|ERBB2|ETV5,0
1629,ML323,79,0.006013443227857351,0.0015766226290135727,RPS28P7|ITM2C|ETV5|MYC|CDKN1A,0
2157,A-366,79,0.0059967804700136185,0.0014057450510025073,RPS28P7|ITM2C|CDKN1A|ERBB2|IL4R,0
1582,SGC-CBP30,79,0.005993913393467665,0.001450484954159636,RPS28P7|ITM2C|ERBB2|CDKN1A|IL4R,0
1802,Zoledronate,79,0.005982630420476198,0.0013391672456018109,RPS28P7|ITM2C|CDKN1A|ERBB2|ETV5,0
1630,Entospletinib,79,0.005982450675219297,0.0017262252789621443,CDKN1A|RPS28P7|ERBB2|ITM2C|GFOD3P,0
1576,IWP-2,79,0.005967270582914352,0.0013850389138347458,RPS28P7|ITM2C|ERBB2|IL4R|CDKN1A,0
1615,CZC24832,79,0.00596710667014122,0.0013994212904090322,RPS28P7|ITM2C|ERBB2|CDKN1A|IL4R,0
