DRUG_NAME,alpha_chembl,alpha_drkg,alpha_primekg,alpha_total,kg_class,n_test_cells
alpha-lipoic acid,0.0,0.0,0.0,0.0,KG-silent,149
ascorbate (vitamin C),0.0,0.0,0.0,0.0,KG-silent,149
AGI-5198,0.0,0.0,0.0,0.0,KG-silent,186
WEHI-539,0.0,0.0,0.0,0.0,KG-silent,188
WIKI4,0.0,0.0,0.0,0.0,KG-silent,186
AGI-6780,0.0,0.0,0.0,0.0,KG-silent,170
AGK2,0.0,0.0,0.0,0.0,KG-silent,182
150412,0.0,0.0,0.0,0.0,KG-silent,132
123829,0.0,0.0,0.0,0.0,KG-silent,132
AZ6102,0.0,0.0,0.0,0.0,KG-silent,187
AZ960,0.0,0.0,0.0,0.0,KG-silent,169
123138,0.0,0.0,0.0,0.0,KG-silent,132
720427,0.0,0.0,0.0,0.0,KG-silent,132
729189,0.0,0.0,0.0,0.0,KG-silent,132
741909,0.0,0.0,0.0,0.0,KG-silent,132
743380,0.0,0.0,0.0,0.0,KG-silent,132
765771,0.0,0.0,0.0,0.0,KG-silent,132
776928,0.0,0.0,0.0,0.0,KG-silent,132
A-366,0.0,0.0,0.0,0.0,KG-silent,146
ABT737,0.0,0.0,0.0,0.0,KG-silent,186
Telomerase Inhibitor IX,0.0,0.0,0.0,0.0,KG-silent,186
